m	n	phi	pmax	batch	rule	threads	t_max_min	mpw	t_mpw_s	error	mew	t_mew_s
3	1	0.5	0.1	5	Plurality	48	30	{0}	0.15392374992370605	no-error	(0,)	0.06859779357910156
3	1	0.5	0.1	7	Plurality	48	30	{1}	0.14812040328979492	no-error	(1,)	0.06788516044616699
3	1	0.5	0.1	9	Plurality	48	30	{0}	0.14209342002868652	no-error	(0,)	0.0716855525970459
3	1	0.5	0.1	0	Plurality	48	30	{2}	0.14713406562805176	no-error	(2,)	0.06921863555908203
3	1	0.5	0.1	2	Plurality	48	30	{0}	0.1379711627960205	no-error	(0,)	0.07262277603149414
3	1	0.5	0.1	4	Plurality	48	30	{0}	0.1415414810180664	no-error	(0,)	0.06869983673095703
3	1	0.5	0.1	6	Plurality	48	30	{0}	0.1417980194091797	no-error	(0,)	0.0715644359588623
3	1	0.5	0.1	8	Plurality	48	30	{2}	0.14099740982055664	no-error	(2,)	0.06895565986633301
3	1	0.5	0.1	1	Plurality	48	30	{0}	0.14178228378295898	no-error	(0,)	0.06894469261169434
3	1	0.5	0.1	3	Plurality	48	30	{0}	0.14143967628479004	no-error	(0,)	0.06911253929138184
3	4	0.5	0.1	4	Plurality	48	30	{1}	0.5749742984771729	no-error	(1,)	0.06917023658752441
3	4	0.5	0.1	6	Plurality	48	30	{0}	0.5849282741546631	no-error	(0,)	0.0683588981628418
3	4	0.5	0.1	8	Plurality	48	30	{2}	0.5705935955047607	no-error	(2,)	0.06896233558654785
3	4	0.5	0.1	1	Plurality	48	30	{0}	0.5721251964569092	no-error	(0,)	0.06908607482910156
3	4	0.5	0.1	3	Plurality	48	30	{0}	0.5736865997314453	no-error	(0,)	0.06811714172363281
3	4	0.5	0.1	5	Plurality	48	30	{0}	0.5706017017364502	no-error	(0,)	0.06957817077636719
3	4	0.5	0.1	7	Plurality	48	30	{0}	0.572242259979248	no-error	(0,)	0.07482314109802246
3	4	0.5	0.1	9	Plurality	48	30	{1}	0.5862431526184082	no-error	(1,)	0.07081389427185059
3	4	0.5	0.1	0	Plurality	48	30	{0}	0.5772182941436768	no-error	(0, 1, 2)	0.07391691207885742
3	4	0.5	0.1	2	Plurality	48	30	{0}	0.5804073810577393	no-error	(0,)	0.07014942169189453
5	1	0.5	0.1	5	Plurality	48	30	{1}	0.1481478214263916	no-error	(1,)	0.06942033767700195
5	1	0.5	0.1	7	Plurality	48	30	{2}	0.14249563217163086	no-error	(2,)	0.07091879844665527
5	1	0.5	0.1	9	Plurality	48	30	{1}	0.1434786319732666	no-error	(1,)	0.07059144973754883
5	1	0.5	0.1	0	Plurality	48	30	{0}	0.1452314853668213	no-error	(0,)	0.06930971145629883
5	1	0.5	0.1	2	Plurality	48	30	{0}	0.1434338092803955	no-error	(0,)	0.06995010375976562
5	1	0.5	0.1	4	Plurality	48	30	{0}	0.1435248851776123	no-error	(0,)	0.07030773162841797
5	1	0.5	0.1	6	Plurality	48	30	{2}	0.1453700065612793	no-error	(2,)	0.06883525848388672
5	1	0.5	0.1	8	Plurality	48	30	{2}	0.14186525344848633	no-error	(2,)	0.0723576545715332
5	1	0.5	0.1	1	Plurality	48	30	{1}	0.14477968215942383	no-error	(1,)	0.07476139068603516
5	1	0.5	0.1	3	Plurality	48	30	{0}	0.14558196067810059	no-error	(0,)	0.07061052322387695
3	7	0.5	0.1	9	Plurality	48	30	{2}	1.0150585174560547	no-error	(2,)	0.07442569732666016
3	7	0.5	0.1	4	Plurality	48	30	{1}	1.0258395671844482	no-error	(1,)	0.06944990158081055
3	7	0.5	0.1	6	Plurality	48	30	{1}	1.023606300354004	no-error	(0, 1)	0.0689535140991211
3	7	0.5	0.1	8	Plurality	48	30	{0}	1.01973557472229	no-error	(0,)	0.06962895393371582
3	7	0.5	0.1	1	Plurality	48	30	{2}	1.0273361206054688	no-error	(0, 2)	0.06917738914489746
3	7	0.5	0.1	3	Plurality	48	30	{0}	1.0167200565338135	no-error	(0,)	0.06856751441955566
3	7	0.5	0.1	5	Plurality	48	30	{1}	1.0206027030944824	no-error	(0, 1)	0.06969141960144043
3	7	0.5	0.1	7	Plurality	48	30	{1}	1.0222859382629395	no-error	(1,)	0.0723259449005127
3	7	0.5	0.1	0	Plurality	48	30	{2}	1.0279593467712402	no-error	(2,)	0.0702369213104248
3	7	0.5	0.1	2	Plurality	48	30	{0}	1.0148365497589111	no-error	(0,)	0.07011198997497559
5	4	0.5	0.1	4	Plurality	48	30	{2}	0.5872743129730225	no-error	(0,)	0.07103586196899414
5	4	0.5	0.1	6	Plurality	48	30	{0}	0.580413818359375	no-error	(0,)	0.0705716609954834
5	4	0.5	0.1	8	Plurality	48	30	{1}	0.5945498943328857	no-error	(1,)	0.0723412036895752
5	4	0.5	0.1	1	Plurality	48	30	{1}	0.5775110721588135	no-error	(1,)	0.0686347484588623
5	4	0.5	0.1	3	Plurality	48	30	{0}	0.5734720230102539	no-error	(0,)	0.07394862174987793
5	4	0.5	0.1	5	Plurality	48	30	{1}	0.6044518947601318	no-error	(1,)	0.07390546798706055
5	4	0.5	0.1	7	Plurality	48	30	{1}	0.6116390228271484	no-error	(1,)	0.0732872486114502
5	4	0.5	0.1	9	Plurality	48	30	{1}	0.5940275192260742	no-error	(1,)	0.07335662841796875
5	4	0.5	0.1	0	Plurality	48	30	{0}	0.5850808620452881	no-error	(0,)	0.07062983512878418
5	4	0.5	0.1	2	Plurality	48	30	{1}	0.5851480960845947	no-error	(1,)	0.06851863861083984
7	1	0.5	0.1	3	Plurality	48	30	{4}	0.24561524391174316	no-error	(4,)	0.07253551483154297
7	1	0.5	0.1	5	Plurality	48	30	{1}	0.24337530136108398	no-error	(1,)	0.07453513145446777
7	1	0.5	0.1	7	Plurality	48	30	{3}	0.23234057426452637	no-error	(3,)	0.07486867904663086
7	1	0.5	0.1	9	Plurality	48	30	{1, 4}	0.19474267959594727	no-error	(1, 4)	0.07641792297363281
7	1	0.5	0.1	0	Plurality	48	30	{0}	0.23852896690368652	no-error	(0,)	0.07461285591125488
7	1	0.5	0.1	2	Plurality	48	30	{3}	0.22935080528259277	no-error	(3,)	0.07292556762695312
7	1	0.5	0.1	4	Plurality	48	30	{2}	0.24423670768737793	no-error	(2,)	0.07245850563049316
7	1	0.5	0.1	6	Plurality	48	30	{0, 1}	0.19306731224060059	no-error	(0, 1)	0.07756638526916504
7	1	0.5	0.1	8	Plurality	48	30	{0}	0.23324322700500488	no-error	(0,)	0.07486367225646973
7	1	0.5	0.1	1	Plurality	48	30	{3}	0.21001839637756348	no-error	(3,)	0.0743095874786377
3	10	0.5	0.1	4	Plurality	48	30	{1}	1.4653563499450684	no-error	(1,)	0.06960821151733398
3	10	0.5	0.1	6	Plurality	48	30	{0}	1.463059663772583	no-error	(0,)	0.07006335258483887
3	10	0.5	0.1	8	Plurality	48	30	{1}	1.4510655403137207	no-error	(1,)	0.0694880485534668
3	10	0.5	0.1	1	Plurality	48	30	{0}	1.4527804851531982	no-error	(0,)	0.06946825981140137
3	10	0.5	0.1	3	Plurality	48	30	{0}	1.4472150802612305	no-error	(0,)	0.0684499740600586
3	10	0.5	0.1	5	Plurality	48	30	{0}	1.4462637901306152	no-error	(0, 1)	0.06912779808044434
3	10	0.5	0.1	7	Plurality	48	30	{1}	1.454479455947876	no-error	(1,)	0.07055974006652832
3	10	0.5	0.1	9	Plurality	48	30	{0}	1.4408228397369385	no-error	(0,)	0.06975293159484863
3	10	0.5	0.1	0	Plurality	48	30	{0}	1.4515488147735596	no-error	(0,)	0.06934309005737305
3	10	0.5	0.1	2	Plurality	48	30	{0}	1.4555904865264893	no-error	(0,)	0.06840872764587402
5	7	0.5	0.1	1	Plurality	48	30	{0}	1.0253984928131104	no-error	(0,)	0.07285594940185547
5	7	0.5	0.1	3	Plurality	48	30	{3}	1.0557847023010254	no-error	(0,)	0.07119107246398926
5	7	0.5	0.1	5	Plurality	48	30	{2}	1.0469720363616943	no-error	(2,)	0.07366037368774414
5	7	0.5	0.1	7	Plurality	48	30	{2}	1.0434579849243164	no-error	(2,)	0.07414937019348145
5	7	0.5	0.1	9	Plurality	48	30	{0}	1.0424718856811523	no-error	(0, 1)	0.07523608207702637
5	7	0.5	0.1	0	Plurality	48	30	{2}	1.0581026077270508	no-error	(2,)	0.07114887237548828
5	7	0.5	0.1	2	Plurality	48	30	{0}	1.047011137008667	no-error	(0,)	0.07164239883422852
5	7	0.5	0.1	4	Plurality	48	30	{0}	1.0385894775390625	no-error	(0,)	0.07661795616149902
5	7	0.5	0.1	6	Plurality	48	30	{0}	1.0404205322265625	no-error	(0,)	0.07292437553405762
5	7	0.5	0.1	8	Plurality	48	30	{1}	1.033679723739624	no-error	(1,)	0.07077217102050781
7	4	0.5	0.1	7	Plurality	48	30	{1}	0.9216892719268799	no-error	(5,)	0.0786750316619873
7	4	0.5	0.1	9	Plurality	48	30	{0}	0.848334550857544	no-error	(0,)	0.07650113105773926
7	4	0.5	0.1	0	Plurality	48	30	{0}	0.8910763263702393	no-error	(0,)	0.0769340991973877
7	4	0.5	0.1	2	Plurality	48	30	{3}	0.9137673377990723	no-error	(3,)	0.07835721969604492
7	4	0.5	0.1	4	Plurality	48	30	{0}	0.9424097537994385	no-error	(0,)	0.07288694381713867
7	4	0.5	0.1	6	Plurality	48	30	{2}	0.9967350959777832	no-error	(2,)	0.07633709907531738
7	4	0.5	0.1	8	Plurality	48	30	{1}	0.8874266147613525	no-error	(1,)	0.0801856517791748
7	4	0.5	0.1	1	Plurality	48	30	{0, 2}	0.9236302375793457	no-error	(0, 2)	0.07773923873901367
7	4	0.5	0.1	3	Plurality	48	30	{0, 4}	0.8349101543426514	no-error	(3,)	0.08187747001647949
7	4	0.5	0.1	5	Plurality	48	30	{1}	0.9033689498901367	no-error	(1,)	0.07633519172668457
9	1	0.5	0.1	1	Plurality	48	30	{4, 6}	2.7343268394470215	no-error	(6,)	0.07493805885314941
3	13	0.5	0.1	1	Plurality	48	30	{1}	1.9332175254821777	no-error	(1,)	0.07199454307556152
3	13	0.5	0.1	3	Plurality	48	30	{0}	1.906693696975708	no-error	(0,)	0.07019329071044922
3	13	0.5	0.1	5	Plurality	48	30	{0}	1.9186501502990723	no-error	(0,)	0.07095742225646973
3	13	0.5	0.1	7	Plurality	48	30	{0}	1.936227798461914	no-error	(0,)	0.07052016258239746
3	13	0.5	0.1	9	Plurality	48	30	{0}	1.910045862197876	no-error	(0,)	0.07038426399230957
3	13	0.5	0.1	0	Plurality	48	30	{0}	1.901198387145996	no-error	(0,)	0.07059574127197266
3	13	0.5	0.1	2	Plurality	48	30	{0}	1.8894124031066895	no-error	(0,)	0.0710601806640625
9	1	0.5	0.1	3	Plurality	48	30	{1, 4, 7}	1.1360547542572021	no-error	(1, 7)	0.08365631103515625
9	1	0.5	0.1	5	Plurality	48	30	{1}	3.9226198196411133	no-error	(1,)	0.0751655101776123
